"55839365033066425146661239400718925824","55839365033085767959775073467514224639","2a02:4540:c050::/44","43358","Mobile Communication Company of Iran PLC"
"55839365033085767959775073467514224640","55839365033124453586002741601104822271","2a02:4540:c060::/43","43358","Mobile Communication Company of Iran PLC"
"55839365033124453586002741601104822272","55839365033279196090913414135467212799","2a02:4540:c080::/41","43358","Mobile Communication Company of Iran PLC"
"55839365033279196090913414135467212800","55839365033588681100734759204191993855","2a02:4540:c100::/40","43358","Mobile Communication Company of Iran PLC"
"55839365033588681100734759204191993856","55839365034207651120377449341641555967","2a02:4540:c200::/39","43358","Mobile Communication Company of Iran PLC"
"55839365034207651120377449341641555968","55839365035445591159662829616540680191","2a02:4540:c400::/38","43358","Mobile Communication Company of Iran PLC"
"55839365035445591159662829616540680192","55839365037921471238233590166338928639","2a02:4540:c800::/37","43358","Mobile Communication Company of Iran PLC"
"55839365037921471238233590166338928640","55839365042873231395375111265935425535","2a02:4540:d000::/36","43358","Mobile Communication Company of Iran PLC"
"55839365042873231395375111265935425536","55839365042911917021602779399526023167","2a02:4540:e000::/43","43358","Mobile Communication Company of Iran PLC"
"55839365042911917021602779399526023168","55839365042913125947422394028700729343","2a02:4540:e020::/48","197207","Mobile Communication Company of Iran PLC"
"55839365042913125947422394028700729344","55839365042914334873242008657875435519","2a02:4540:e021::/48","43358","Mobile Communication Company of Iran PLC"
"55839365042914334873242008657875435520","55839365042916752724881237916224847871","2a02:4540:e022::/47","43358","Mobile Communication Company of Iran PLC"
"55839365042916752724881237916224847872","55839365042921588428159696432923672575","2a02:4540:e024::/46","43358","Mobile Communication Company of Iran PLC"
"55839365042921588428159696432923672576","55839365042931259834716613466321321983","2a02:4540:e028::/45","43358","Mobile Communication Company of Iran PLC"
"55839365042931259834716613466321321984","55839365042950602647830447533116620799","2a02:4540:e030::/44","43358","Mobile Communication Company of Iran PLC"
"55839365042950602647830447533116620800","55839365043027973900285783800297816063","2a02:4540:e040::/42","43358","Mobile Communication Company of Iran PLC"
"55839365043027973900285783800297816064","55839365043182716405196456334660206591","2a02:4540:e080::/41","43358","Mobile Communication Company of Iran PLC"
"55839365043182716405196456334660206592","55839365043492201415017801403384987647","2a02:4540:e100::/40","43358","Mobile Communication Company of Iran PLC"
"55839365043492201415017801403384987648","55839365044111171434660491540834549759","2a02:4540:e200::/39","43358","Mobile Communication Company of Iran PLC"
"55839365044111171434660491540834549760","55839365045349111473945871815733673983","2a02:4540:e400::/38","43358","Mobile Communication Company of Iran PLC"
"55839365045349111473945871815733673984","55839365047824991552516632365531922431","2a02:4540:e800::/37","43358","Mobile Communication Company of Iran PLC"
"55839365047824991552516632365531922432","55839365052776751709658153465128419327","2a02:4540:f000::/36","43358","Mobile Communication Company of Iran PLC"
"55839365052776751709658153465128419328","55839365132004914223922491058672369663","2a02:4541::/32","43358","Mobile Communication Company of Iran PLC"
"55839365132004914223922491058672369664","55839365290461239252451166245760270335","2a02:4542::/31","43358","Mobile Communication Company of Iran PLC"
"55839365290461239252451166245760270336","55839365290615981757361838780122660863","2a02:4544::/41","43358","Mobile Communication Company of Iran PLC"
"55839365290615981757361838780122660864","55839365290693353009817175047303856127","2a02:4544:80::/42","43358","Mobile Communication Company of Iran PLC"
"55839365290693353009817175047303856128","55839365290732038636044843180894453759","2a02:4544:c0::/43","43358","Mobile Communication Company of Iran PLC"
"55839365290732038636044843180894453760","55839365290741710042601760214292103167","2a02:4544:e0::/45","197207","Mobile Communication Company of Iran PLC"
"55839365290741710042601760214292103168","55839365290746545745880218730990927871","2a02:4544:e8::/46","197207","Mobile Communication Company of Iran PLC"
"55839365290746545745880218730990927872","55839365290751381449158677247689752575","2a02:4544:ec::/46","43358","Mobile Communication Company of Iran PLC"
"55839365290751381449158677247689752576","55839365290770724262272511314485051391","2a02:4544:f0::/44","43358","Mobile Communication Company of Iran PLC"
